timestamp,tweet,username
Mon Oct 29 00:51:52 +0000 2018,RT @jokopinurbo: Selamat Hari Sumpah Pemuda https://t.co/00UcLPe2bX,Thy_rajmi
Mon Oct 29 00:51:46 +0000 2018,"Upacara Hari Sumpah Pemuda yg ke 90...🇮🇩
.
.
diary_kemenkumham 
@kumham_sulsel 
@Kemenkumham_RI 
@DITJEN_PAS
bpsdm_… https://t.co/yY9vTcKfCt",Bapaskelas2pal1
Mon Oct 29 00:51:44 +0000 2018,Bupati Barru Pimpin Upacara Sumpah Pemuda - https://t.co/zgX3lcMmc6 https://t.co/GWdCplIoeD,maccasiana
Mon Oct 29 00:51:43 +0000 2018,"RT @dewahoya: Gue kira TO MU UC H  TO MU UC H apaan. Ternyata 😭😂 

Asli dah ngakak nonton ni video. Makna yang mau di sampein juga dalem ba…",shofianafz
Mon Oct 29 00:51:41 +0000 2018,"RT @aratiararismala: APAAN WOOYY TOO MU-UCH. kesel banget aku dengernya 😂😂😂

videonya bikin ngakak. belajar bahasa inggris boleh, lupa baha…",BalwelIkhbal
Mon Oct 29 00:51:38 +0000 2018,"Sejatinya sumpah pemuda adalah semangat persatuan yang sangat penting untuk menanggulangi perpecahan.

Kita Indones… https://t.co/RbMAQJcisv",bkpm
Mon Oct 29 00:51:35 +0000 2018,"Gelorakan semangat Sumpah Pemuda, 2.018 meriam bambu diletupkan di Kabupaten Sambas.

https://t.co/KFJG6f8eBC https://t.co/xivOqg6Gc7",MURI_org
Mon Oct 29 00:51:31 +0000 2018,RT @jokopinurbo: Selamat Hari Sumpah Pemuda https://t.co/00UcLPe2bX,aprielia_s
Mon Oct 29 00:51:29 +0000 2018,"RT @Baroindra: Video ini bagus banget, nyindir pemuda pemudi zaman now yang lupa isi sumpah pemuda, bahkan banyak yang ngobrol sama satu ba…",Hannafijulian
Mon Oct 29 00:51:29 +0000 2018,"RT @newsplatter: 90 tahun Sumpah Pemuda! 90 tahun lalu pemuda beda suku dan agama ngumpul bareng dan mikir, ""Kalo kita masih mentingin perb…",BaeAnam6
Mon Oct 29 00:51:28 +0000 2018,"Sumpah pemuda?

Saya tidak ikutan upacara, tidak jg ikutan perayaan acara-acara belaka.
Sebagai pemuda, saya hidup… https://t.co/9f1YJBW89N",syskalaveggie
Mon Oct 29 00:51:28 +0000 2018,"RT @indokatolik100: Sumpah Pemuda 1928, 90 tahun lalu mereka bersatu dan kini kita jaga bersama. https://t.co/asWuEOlNSy",rhyo_karv
Mon Oct 29 00:51:25 +0000 2018,"RT @Partai_Gerindra: 28 Oktober, Memperingati Hari Sumpah Pemuda.

Selamat pagi para pemuda dan pemudi Partai Gerakan Indonesia Raya (Ge… h…",antokarema
Mon Oct 29 00:51:20 +0000 2018,RT @thepopoh: ijinkan ogut ngerayain sumpah pemuda dengan kegaringan yang hak kyu kyu.. beberapa taun silam.. sebelum bapak2 polityak tae k…,weni_kusuma
Mon Oct 29 00:51:19 +0000 2018,"Moment Sumpah Pemuda, Yudi Krismen: Pemuda perlu karakter kuat https://t.co/8f8oqDpvq2 https://t.co/xB7xzrBS1v",ranah_riau
Mon Oct 29 00:51:19 +0000 2018,"Pemuda itu kita.
Kita semua yang hobi foto selfie tapi suka juga upload foto prestasi.

Diperingatan sumpah pemuda… https://t.co/3rkWTNqkwk",IgaruddinOmbe
Mon Oct 29 00:51:18 +0000 2018,"RT @bawaslu_blora: #SahabatBawaslu
Selamat Hari Sumpah Pemuda..

Dengan semangat muda kita awasi bersama Pemilu 2019 agar berjalan damai, b…",antojavas16
Mon Oct 29 00:51:16 +0000 2018,RT @jokopinurbo: Selamat Hari Sumpah Pemuda https://t.co/00UcLPe2bX,viaRahmaa1
Mon Oct 29 00:51:07 +0000 2018,"Peringati Sumpah Pemuda, Rajab Minta Anak Muda Bekali Diri Ilmu Agama https://t.co/F8rzfXYmZF https://t.co/yxnok0ZyFi",Mr_Didie01
Mon Oct 29 00:51:06 +0000 2018,"Peringati Sumpah Pemuda, Rajab Minta Anak Muda Bekali Diri Ilmu Agama https://t.co/ix5E7bLVpJ https://t.co/sKeiwz6KFR",rudiantolallo
Mon Oct 29 00:51:05 +0000 2018,"RT @BKIPMPadang: BKIPM Padang mengucapkan Selamat Hari Sumpah Pemuda 28 Oktober 2018.
Semoga semangat sumpah pemuda akan selalu ada dalam j…",Mardika_ip
Mon Oct 29 00:51:03 +0000 2018,"RT @jas_hijau: K.H. Maimun Zubair lahir bertepatan dengan #HariSumpahPemuda, bahkan kelahirannya sama persis dengan pelaksanaan Sumpah Pemu…",GiSugi78
Mon Oct 29 00:51:03 +0000 2018,RT @historia_id: Masyarakat Arab menganggap tanah airnya Hadramaut (Yaman). Persatuan Arab peranakan mendorong mereka untuk bertanah air In…,OnikGuevara
Mon Oct 29 00:50:54 +0000 2018,"Assalamualikum
Bismillah
Memperingati Hari Sumpah Pemuda
Rumah Mewah
Cicilan 2,8 Juta'an
Tanpa DP… https://t.co/pRsHxZ1ff5",bukitmekarwangi
Mon Oct 29 00:50:51 +0000 2018,"@rlthingy Di lapangan, upacara sumpah pemuda hmm",olifitriani
Mon Oct 29 00:50:48 +0000 2018,"Good morning🌤️

Aktifitas Senin pagi ya seperti biasa. Upacara bendera memperingati Hari Sumpah Pemuda🇮🇩",ritaastati
Mon Oct 29 00:50:39 +0000 2018,"RT @sandiuno: 90 tahun yang lalu, para pendiri bangsa merumuskan cita-cita besar yang kita kenal sebagai sumpah pemuda. Tanah air, bangsa,…",Sopian36029156
